@relation mcc_aut



@attribute mcc_aut {a, b, c, d,e, f, g, h, i}

@attribute text String



@data
a,'Comprobar un diagnóstico clínico poco claro'
a,'Corroborar un diagnóstico médico incierto'
i,'Descartar un diagnóstico clínico incierto'
i,'Desestimar un diagnóstico clínico poco claro'
i,'Descartar un diagnóstico médico dudoso'
i,'Desestimar un diagnóstico médico poco claro'
i,'Desechar un diagnóstico incierto'
c,'Complementación diagnóstica'
c,'Complementación del diagnóstico'
c,'Consolidación diagnóstica'
c,'Consolidación del diagnóstico'
a,'Confirmar diagnósticos'
a,'Afirmar diagnósticos'
a,'Establecer diagnósticos'
a,'Comprobar diagnósticos'
c,'Con fines académicos'
c,'Con fines de enseñanza'
c,'Con fines didácticos'
c,'Con objetivos académicos'
c,'Con objetivos de enseñanza'
c,'Con objetivos didácticos'
a,'Muerte con diagnóstico incierto'
a,'Muerte con diagnóstico poco claro'
a,'Muerte con diagnóstico dudoso'
a,'Fellecimiento con diagnóstico incierto'
a,'Deceso con diagnóstico incierto'
a,'Para aclarar la patología causa de muerte de un paciente'
a,'Para aclarar la causa de muerte de un paciente'
a,'Para aclarar la causa de fallecimiento de una persona'
a,'Para confirmar la causa del deceso de un paciente'
a,'Para estudiar el motivo de muerte de una persona'
d,'Actualmente en  el servicio que me encuentro no hay oportunidad o no me ha tocado la situación'
d,'Hay servicios donde no hay oportunidad de asistir a autopsias'
d,'Hay servicios donde no se puede asistir a autopsias'
d,'Hay servicios donde no se ven autopsias'
d,'Hay departamentos donde no hay oportunidad de ver autopsias'
c,'Dar con el diagnóstico'
c,'Llegar al diagnóstico'
c,'Establecer el diagnóstico'
c,'Determinar el diagnóstico'
c,'Aprendizaje'
c,'Mayor conocimiento de etiopatogenia'
c,'Mayor aprehensión de etiopatogenia'
c,'Mayor profundización en etiopatogenia'
a,'Comprobar diagnósticos'
a,'Verificar diagnósticos'
a,'Chequear diagnósticos'
a,'Revisar diagnósticos'
e,'Por la discrepancia en diagnósticos clínicos'
e,'Por la divergencia en diagnósticos clínicos'
e,'Por las dudas en diagnósticos clínicos'
e,'Por la discrepancia en diagnósticos médicos'
e,'Por la poca claridad en diagnósticos médicos'
a,'Para esclarecer la causa de la muerte'
a,'Para determinar la causa de la muerte'
a,'Para precisar la causa del deceso'
a,'Para esclarecer la causa del fallecimiento'
a,'Para esclarecer el motivo de la muerte'
a,'Para esclarecer el motivo del deceso'
b,'Por parte de una investigación cuando la persona muere en la vía pública'
b,'Por parte de investigaciones ante muertes en la vía pública'
b,'Como parte de una investigación cuando la persona fallece en la vía pública'
b,'Como parte de investigaciones ante fallecimientos en la vía pública'
b,'Por parte de una investigación cuando personas mueren en la vía pública'
b,'Muertes violentas'
b,'Fallecimientos violentos'
b,'Decesos violentos'
b,'Muertes por violencia'
b,'Decesos por violencia'
d,'Muertes maternas'
d,'Decesos maternos'
d,'Fallecimientos maternos'
d,'Muertes de madres'
d,'Decesos de madres'
d,'Fallecimientos de madres'
a,'Incertidumbre en el diagnóstico'
a,'Dudas en el diagnóstico'
a,'Poca claridad en el diagnóstico'
a,'Diagnóstico con dudas'
a,'Diagnóstico poco claro'
h,'Queja de los familiares sobre negligencia médica'
h,'Queja de la familia sobre negligencia médica'
h,'Queja de los familiares sobre mal proceder médico'
h,'Inconformidad de los familiares con el proceder médico'
h,'Inconformidad de la familia con el proceder médico'
h,'Demanda de los familiares sobre negligencia médica'
i,'Ausencia de diagnóstico definitivo'
i,'Falta de diagnóstico definitivo'
i,'Carencia de diagnóstico definitivo'
i,'Ausencia de diagnóstico conclusivo'
i,'Falta de diagnóstico conclusivo'
b,'Fallecimiento en vía pública'
b,'Muerte en vía pública'
b,'Deceso en vía pública'
b,'Fallecimiento en la vía'
b,'Muerte en la vía'
b,'Muerte violenta' 
b,'Fallecimiento violento' 
b,'Deceso violento'
b,'Muerte con violencia'
b,'Fallecimiento con violencia'
b,'Fallecimiento sospechoso'
b,'Deceso sospechoso'
b,'Muerte sospechosa'
b,'Fallecimiento bajo sospecha'
b,'Muerte bajo sospecha'
b,'Fallecimiento dudoso'
e,'En los casos donde queda la duda en la evolución de un paciente'
e,'En los casos con dudas sobre la evolución de un paciente'
e,'En los casos con poca claridad en la evolución de un paciente'
e,'En los casos con incertidumbre en la evolución de un paciente'
e,'En los casos donde hay dudas sobre la evolución de una persona'
a,'Duda en el diagnóstico de un paciente'
a,'Poca claridad en el diagnóstico de un paciente'
a,'Incertidumbre en el diagnóstico de un paciente'
a,'Duda en el diagnóstico de una persona'
a,'Poca claridad en el diagnóstico de una persona'
b,'En los casos legales'
b,'En los casos jurídicos'
b,'En cuestiones jurídicas'
b,'En cuestiones legales'
b,'En los casos relacionados con la ley'
b,'En los casos con impicación legal'
d,'No contesta'
a,'Saber el motivo de la muerte'
a,'Conocer el motivo de la muerte'
a,'Conocer la causa de la muerte'
a,'Saber el motivo del deceso'
a,'Saber el motivo del fallecimiento'
a,'Conocer la causa del deceso'
b,'Estado actual del paciente en algún accidente'
b,'Condición del paciente en algún accidente'
b,'Estado actual del paciente tras un accidente'
b,'Condición actual tras un accidente'
b,'Evolución del paciente luego de algún accidente'
a,'Para confirmar diagnósticos'
a,'Para afirmar diagnósticos'
a,'Para verificar diagnósticos'
a,'Para comprobar diagnósticos'
a,'Para profundizar diagnósticos'
c,'Conocer el factor etiológico'
c,'Saber el factor etiológico'
c,'Conocer el componente etiológico'
c,'Saber el componente etiológico'
c,'Determinar el factor etiológico'
i,'Conocer causa de la defunción'
i,'Establecer causa de la defunción'
i,'Determinar causa de la defunción'
i,'Conocer motivo de la muerte'
i,'Saber motivo de la defunción'
c,'Se solicita para corroborar la circunstancia que causó la enfermedad'
c,'Se solicita para comprobar la circunstancia que provocó la enfermedad'
c,'Se pide para afirmar la circunstancia que causó la enfermedad'
c,'Se solicita para corroborar la circunstancia causante de la enfermedad'
c,'Se solicita para verificar la circunstancia que originó la enfermedad'
a,'Para saber con mayor certeza cuál fue el origen que ocasionó la muerte del paciente'
a,'Para determinar con mayor seguridad el origen de la muerte del paciente'
a,'Para conocer con mayor certeza la causa de la muerte del paciente'
a,'Para saber con exactitud del origen del fallecimiento del paciente'
a,'Para establecer con seguridad el motivo de la muerte del paciente'
b,'En caso de accidentes'
b,'Ante accidentes'
b,'En casos de accidentes'
b,'Para ejercer demanda'
b,'Para canalizar una demanda'
b,'Para demandar'
b,'Para cursar una demanda'
i,'Hacer un análisis retrospectivo del diagnóstico clínico final, cuando existe discrepancia'
i,'Hacer análisis retrospectivos del diagnóstico cuando hay discrepancias'
i,'Hacer análisis retrospectivo del diagnóstico clínico cuando existen dudas'
i,'Hacer un análisis retrospectivo del diagnóstico cuando hay dudas'
i,'Realizar un análisis retrospectivo del diagnóstico final cuando es poco claro'
i,'Analizar retrospectivamente el diagnóstico clínico final cuando existe discrepancia'
a,'Diagnóstico de certeza'
a,'Diagnóstico conclusivo'
a,'Diagnóstico de seguridad'
a,'Diagnóstico definitivo'
a,'Diagnóstico concluyente'
b,'Fines jurídicos'
b,'Fines legales'
b,'Objetivos jurídicos'
b,'Objetivos legales'
c,'Investigaciones biomédicas'
c,'Estudios biomédicos'
c,'Análisis biomédicos'
c,'Investigación biomédica'
c,'Estudio biomédico'
a,'Diagnóstico incierto'
a,'Diagnóstico inseguro'
a,'Diagnóstico poco claro'
a,'Diagnóstico dudoso'
a,'Dudas diagnósticas'
a,'Incertidumbre diagnóstica'
a,'Poca claridad diagnóstica'
a,'Inquietudes diagnósticas'
a,'Corroborar diagnósticos'
a,'Confirmar diagnósticos'
a,'Establecer diagnósticos'
a,'Rectificar diagnósticos'
a,'Comprobar diagnósticos'
a,'Algunas ocasiones para determinar causa de muerte'
a,'Algunas ocasiones para determinar motivo de muerte'
a,'Algunas ocasiones para establecer motivo de muerte'
a,'Algunas ocasiones para determinar causa de fallecimiento'
a,'Algunas ocasiones para establecer motivo de deceso'
b,'Procesos médico legales'
b,'Procesos clínico legales'
b,'Procesos médico jurídicos'
b,'Procesos clínico jurídicos'
b,'Casos médico legales'
i,'No saber la enfermedad que ocasionó la muerte'
i,'Desconocimiento de la enfermedad que ocasionó la muerte'
i,'No saber la enfermedad que provocó la muerte'
i,'No saber la condición que ocasionó el fallecimiento'
i,'Desconocer la enfermedad que provocó el deceso'
b,'Demandas'
b,'Litigios'
b,'Homicidios'
b,'Asesinatos'
b,'Suicidios'
c,'Investigar la causa exacta de la muerte'
c,'Investigar la causa precisa del fallecimiento'
c,'Analizar la causa exacta de la muerte'
c,'Estudiar el motivo exacto de la muerte'
c,'Armar un caso clínico y publicarlo'
c,'Estudiar un caso clínico y publicarlo'
c,'Analizar un caso clínico para publicarlo'
c,'Armar un caso clínico y darlo a conocer'
c,'Montar un caso clínico y darlo a conocer'
i,'Llegar a diagnósticos finales'
i,'Llegar a diagnósticos definitivos'
i,'Llegar a diagnósticos conclusivos'
i,'Llegar a diagnósticos concluyentes'
i,'Establecer diagnósticos finales'
i,'Establecer diagnósticos definitivos'
c,'Para mejorar el aprendizaje tanto como hospital escuela como personal'
c,'Para mejorar la enseñanza'
c,'Para mejorar el aprendizaje'
c,'Para favorecer el aprendizaje'
c,'Para favorecer la enseñanza'
a,'Cuando hay dudas respecto al diagnóstico'
a,'Cuando hay poca claridad en el diagnóstico'
a,'Cuando hay incertidumbre en el diagnóstico'
a,'Cuando hay dudas sobre el diagnóstico'
a,'Cuando hay poca seguridad en el diagnóstico'
i,'Cuando se trata de un caso aislado'
i,'Cuando se trata de un caso único'
i,'Cuando se trata de un caso específico'
i,'Cuando se trata de un caso especial'
a,'Corroborar algún diagnóstico'
a,'Confirmar algún diagnóstico'
a,'Verificar algún diagnóstico'
a,'Afirmar algún diagnóstico'
